,target,id,date,query,user,input,input_processed,GPT Positive,GPT Negative
5000,0,2193666608,Tue Jun 16 08:46:02 PDT 2009,NO_QUERY,Victoriouz,"I'm going to sleep, then do geography/arts homework and probably cry about my biology exam and how I got a F this semester  #squarespace","I'm going to sleep, then do geography/arts homework and probably cry about my biology exam and how I got a F this semester  squarespace",X,Y
5001,0,1990977434,Mon Jun 01 06:09:17 PDT 2009,NO_QUERY,deborah_kiernan,"Never play on wii with a 10 year old, they show you no mercy ","Never play on wii with a 10 year old, they show you no mercy ",X,Y
5002,4,1469244817,Tue Apr 07 05:44:34 PDT 2009,NO_QUERY,Boddingtons,@tsarnick yes sneaking on the blackberry...  ,USERNAME yes sneaking on the blackberry...  ,X,X
5003,0,1681093567,Sat May 02 13:11:58 PDT 2009,NO_QUERY,Kadiemay28,@Emilyk4 Where is there sun? It's been raining here all day?! Supposed to continue until Wednesday! ,USERNAME Where is there sun? It's been raining here all day?! Supposed to continue until Wednesday! ,X,Y
5004,0,1977211700,Sat May 30 20:23:33 PDT 2009,NO_QUERY,robertcarlsen,mmm...kale. i've missed good greens. in sad news i've found my french press to be cracked ,mmm...kale. i've missed good greens. in sad news i've found my french press to be cracked ,X,Y
5005,4,2058536095,Sat Jun 06 15:08:08 PDT 2009,NO_QUERY,arundo_donax,"@meilinmiranda Lilith and the Jarocho... 140 chars, ya know  Ended up with Haunted Palace (DimV version)... so summery and perfect. #BPAL","USERNAME Lilith and the Jarocho... 140 chars, ya know  Ended up with Haunted Palace (DimV version)... so summery and perfect. BPAL",X,X
5006,4,1882503502,Fri May 22 06:59:34 PDT 2009,NO_QUERY,cealagar,just finished dinner. Gotta do post-production on my next song  http://plurk.com/p/vhrs7,just finished dinner. Gotta do post-production on my next song  URL,Y,X
5007,0,1823653601,Sat May 16 22:34:34 PDT 2009,NO_QUERY,foodlover23,Dam!!! i missed tonights epi ,Dam!!! i missed tonights epi ,X,Y
5008,0,2289546079,Mon Jun 22 20:37:51 PDT 2009,NO_QUERY,dottiedimplex3,@princessleah7x i don't have a mac ,USERNAME i don't have a mac ,X,X
5009,4,2002202421,Tue Jun 02 03:29:13 PDT 2009,NO_QUERY,IsaMilano,@LittlestarRed Great question  Do you think he's already read all the mails?,USERNAME Great question  Do you think he's already read all the mails?,X,X
5010,0,2223163080,Thu Jun 18 07:55:57 PDT 2009,NO_QUERY,akojen,"@HoustonGran Are you trying every day, Gran? ","USERNAME Are you trying every day, Gran? ",X,X
5011,0,1960296980,Fri May 29 07:44:26 PDT 2009,NO_QUERY,AmberOrMrsA,At work I don't like today its nasty outside  can't wait to get home today and clean my house!,At work I don't like today its nasty outside  can't wait to get home today and clean my house!,X,Y
