,target,id,date,query,user,input,input_processed,GPT Positive,GPT Negative
18000,4,1965390421,Fri May 29 15:50:13 PDT 2009,NO_QUERY,anguenot,It's been exactly a year ! ,It's been exactly a year ! ,Yes,No
18001,4,1970478177,Sat May 30 04:01:43 PDT 2009,NO_QUERY,nuttychris,"@DutchieDude lol, willow is all good  but god bby sisters so annoying lol","USERNAME lol, willow is all good  but god bby sisters so annoying lol",No,No
18002,4,2004373185,Tue Jun 02 08:06:03 PDT 2009,NO_QUERY,Greg888,@haleysuzanne Nothing like home and I should know !! You're gonna have a great week by the sounds of it. ,USERNAME Nothing like home and I should know !! You're gonna have a great week by the sounds of it. ,Yes,No
18003,0,1969783156,Sat May 30 01:12:37 PDT 2009,NO_QUERY,ShotaD,I truly miss my iPod ,I truly miss my iPod ,No,No
18004,4,1990248838,Mon Jun 01 04:19:54 PDT 2009,NO_QUERY,lazy_man_phd,@jbuck agh you malign me dear sir!  Asshat! ,USERNAME agh you malign me dear sir!  Asshat! ,No,Yes
18005,4,2069921343,Sun Jun 07 16:46:30 PDT 2009,NO_QUERY,Ariana_Lee,YEEEESSSSSSSS FINALLY FINISH MY PROJECT ON WHY DO I WANT TO BECOME A MOVIE PRODUCERRR!!!!! ,YEEEESSSSSSSS FINALLY FINISH MY PROJECT ON WHY DO I WANT TO BECOME A MOVIE PRODUCERRR!!!!! ,Yes,No
18006,0,1984205250,Sun May 31 14:38:52 PDT 2009,NO_QUERY,Beccy91,have to go into school tomoro  then up2 glasgow to get my birthday present ,have to go into school tomoro  then up2 glasgow to get my birthday present ,Yes,No
18007,0,2190951727,Tue Jun 16 04:09:36 PDT 2009,NO_QUERY,NeroliCannoli,"@marodi $40 for a needle is extortionate, I can see why you're holding off. ","USERNAME $40 for a needle is extortionate, I can see why you're holding off. ",No,Yes
18008,4,1685405389,Sun May 03 00:15:00 PDT 2009,NO_QUERY,DazzleMeThis,@judez_xo yeah sure  Oh and I seriously would if I could afford it but I really don't think I can make that kinda money to come to Sydney.,USERNAME yeah sure  Oh and I seriously would if I could afford it but I really don't think I can make that kinda money to come to Sydney.,No,No
18009,4,1467951266,Mon Apr 06 22:57:55 PDT 2009,NO_QUERY,RebeccaLange,And so a down day on the market...happy my stocks held up ,And so a down day on the market...happy my stocks held up ,Yes,No
18010,0,1981289060,Sun May 31 08:50:25 PDT 2009,NO_QUERY,TjTomorrowX3,@AlexxEnglish i know  ESOTSM;,USERNAME i know  ESOTSM;,No,No
18011,0,2261211493,Sat Jun 20 20:26:12 PDT 2009,NO_QUERY,Kaliaoqi,@SaveCastle no Castle in DC tonight ,USERNAME no Castle in DC tonight ,No,No
18012,4,1958066943,Fri May 29 02:32:49 PDT 2009,NO_QUERY,thekencook,@pheebs2000 if you have wireless you can ,USERNAME if you have wireless you can ,No,No
18013,4,1685463773,Sun May 03 00:30:17 PDT 2009,NO_QUERY,yoitsRuby,"late nights !  tonight was fun :] man i really liked that cherry ice-cream i had, to bad sal didnt know what it was called :\","late nights !  tonight was fun :] man i really liked that cherry ice-cream i had, to bad sal didnt know what it was called :\",Yes,No
18014,4,2062560507,Sat Jun 06 23:35:31 PDT 2009,NO_QUERY,beretclairet,@skittlecloudx why yes i am. i'm watching episode 10 of the first season of arrested development ,USERNAME why yes i am. i'm watching episode 10 of the first season of arrested development ,No,No
18015,4,1991569821,Mon Jun 01 07:16:40 PDT 2009,NO_QUERY,regularjen,"@synx508 Not that I'm mathematically talented, but Applications&gt;Calculator&gt;View changes to a Scientific one. Avoid Dashboard calculator ","USERNAME Not that I'm mathematically talented, but Applications&gt;Calculator&gt;View changes to a Scientific one. Avoid Dashboard calculator ",No,No
18016,0,2239550233,Fri Jun 19 08:40:48 PDT 2009,NO_QUERY,franzipants,"Ahhhh going camping this weekend, ugh... Be back Sunday afternoon. I'll miss my bed  http://twitpic.com/7t1dv","Ahhhh going camping this weekend, ugh... Be back Sunday afternoon. I'll miss my bed  URL",No,Yes
