,target,id,date,query,user,input,input_processed,GPT Positive,GPT Negative
3500,0,2248867053,Fri Jun 19 21:19:06 PDT 2009,NO_QUERY,MelissaBillions,"FIN!  -- now, to chill, team run in the a.m., I have been SLACKING on training!  ","FIN!  -- now, to chill, team run in the a.m., I have been SLACKING on training!  ",X,Y
3501,4,1961422488,Fri May 29 09:28:44 PDT 2009,NO_QUERY,dopemaneazyecpt,@Truwestcoast what up homie! real g'z stay ruthless  hahahha lol whats happenin WESTSIDE!!!!!!!!!!!!!!!,USERNAME what up homie! real g'z stay ruthless  hahahha lol whats happenin WESTSIDE!!!!!!!!!!!!!!!,Y,Y
3502,4,2052280866,Sat Jun 06 00:12:39 PDT 2009,NO_QUERY,nickless,Happy Birthday Tetris  (I play it everytime I'm @ metalab on the famous metacade http://bit.ly/hoNwe,Happy Birthday Tetris  (I play it everytime I'm @ metalab on the famous metacade URL,Y,Y
3503,4,1563829379,Mon Apr 20 00:27:27 PDT 2009,NO_QUERY,oliyoung,@radiostarelle i have! we've talked and we're cool #herebeforeoprah #herebeforeaplusk imitation = sincerest form of flattery n' all ,USERNAME i have! we've talked and we're cool herebeforeoprah herebeforeaplusk imitation = sincerest form of flattery n' all ,Y,Y
3504,0,1993767047,Mon Jun 01 10:53:59 PDT 2009,NO_QUERY,ellebelle_,Accounting legislation will be the death of me- I've studied it ALL day and still can't remember it ,Accounting legislation will be the death of me- I've studied it ALL day and still can't remember it ,Y,X
3505,4,2182222981,Mon Jun 15 12:53:10 PDT 2009,NO_QUERY,Mr_Spong,@indie_eire I only seen them the once. I think it was when they were still at their raw best!  Lots of sods of mud thrown at them though,USERNAME I only seen them the once. I think it was when they were still at their raw best!  Lots of sods of mud thrown at them though,Y,Y
3506,4,1999967693,Mon Jun 01 21:09:19 PDT 2009,NO_QUERY,imperfectbless,hehehe greek is sooo funny ,hehehe greek is sooo funny ,X,Y
3507,0,2014261102,Wed Jun 03 00:57:24 PDT 2009,NO_QUERY,sg44444,why don't i have more followers? ,why don't i have more followers? ,Y,X
3508,0,2071537222,Sun Jun 07 19:33:27 PDT 2009,NO_QUERY,motamota,she said i could but not till im 18 fot some reason. lameee! i just wanna go homeee ,she said i could but not till im 18 fot some reason. lameee! i just wanna go homeee ,Y,X
3509,4,2053217763,Sat Jun 06 03:44:13 PDT 2009,NO_QUERY,aish_star,"gudMrn,GudAftNun,GudEve...AIO... ","gudMrn,GudAftNun,GudEve...AIO... ",Y,Y
3510,0,1993035993,Mon Jun 01 09:43:40 PDT 2009,NO_QUERY,chels_mae,Im DYING of THIRST!  I NEED A BEVERAGE! An Arnold Palmer sounds orgasmic! ,Im DYING of THIRST!  I NEED A BEVERAGE! An Arnold Palmer sounds orgasmic! ,Y,X
3511,4,1558974309,Sun Apr 19 09:55:06 PDT 2009,NO_QUERY,marcellolisi,Enjoying some really great and inspiring music by &quot;Ang�lique Kidjo&quot; &amp; &quot;Bliss&quot; while enjoying a beautiful sunny day ,Enjoying some really great and inspiring music by &quot;Ang�lique Kidjo&quot; &amp; &quot;Bliss&quot; while enjoying a beautiful sunny day ,X,Y
3512,0,1694176951,Mon May 04 01:25:53 PDT 2009,NO_QUERY,DonoLooLoo,@AnnieDAFG i missed youuuuuu.   one day (soon!!!) we shall meet again.  &lt;33333,USERNAME i missed youuuuuu.   one day (soon!!!) we shall meet again.  &lt;33333,X,Y
3513,4,1977926237,Sat May 30 22:01:23 PDT 2009,NO_QUERY,citynightlife,that's what's up detroit red wings. my boys are taking the cup once again. ,that's what's up detroit red wings. my boys are taking the cup once again. ,X,Y
3514,4,2062188230,Sat Jun 06 22:33:21 PDT 2009,NO_QUERY,steveo_187,"@lee_kd aw heaps good ill have to check it out, let me knw what time n stuff ","USERNAME aw heaps good ill have to check it out, let me knw what time n stuff ",X,Y
3515,4,1881503624,Fri May 22 04:50:26 PDT 2009,NO_QUERY,HesterAlice,"@JohnnyGWeir Cheer Up, Johnny! &gt;?&lt;! I'm always pray for you ","USERNAME Cheer Up, Johnny! &gt;?&lt;! I'm always pray for you ",Y,Y
3516,4,1556265835,Sat Apr 18 22:12:09 PDT 2009,NO_QUERY,TonesAssande,"@yoshikuroi I' d hope I'm higher than superman, king kryptonian douche. ","USERNAME I' d hope I'm higher than superman, king kryptonian douche. ",Y,X
3517,4,1990349991,Mon Jun 01 04:37:31 PDT 2009,NO_QUERY,GinaRu,Feeling very optimistic! ,Feeling very optimistic! ,X,Y
3518,0,2245222030,Fri Jun 19 15:49:44 PDT 2009,NO_QUERY,abcdefghijanica,@mileycyrus have you ever thought that love stink?? ,USERNAME have you ever thought that love stink?? ,Y,X
3519,4,1828076110,Sun May 17 12:02:20 PDT 2009,NO_QUERY,boonxewok,Riding on the train.... Riding on the train.... Siting next to bbbuuummmsss... -thanks family guy... ,Riding on the train.... Riding on the train.... Siting next to bbbuuummmsss... -thanks family guy... ,Y,X
3520,4,2063305675,Sun Jun 07 02:07:53 PDT 2009,NO_QUERY,chouwilson,Perfect Nice weather. Thank God ,Perfect Nice weather. Thank God ,X,Y
3521,0,2061168004,Sat Jun 06 20:18:57 PDT 2009,NO_QUERY,katcurlee,"OK, so....MAC is still having problems.  Maybe a hardware issue...could be a memory issue... Grrrrr.....  What a day... ","OK, so....MAC is still having problems.  Maybe a hardware issue...could be a memory issue... Grrrrr.....  What a day... ",Y,X
3522,4,1983535730,Sun May 31 13:20:37 PDT 2009,NO_QUERY,fattofitat40,@Meganmonique YES YOU ARE! ,USERNAME YES YOU ARE! ,X,Y
3523,0,2049647655,Fri Jun 05 17:14:56 PDT 2009,NO_QUERY,lvlygirl,had a great day with my mom!! wish she lived closer ,had a great day with my mom!! wish she lived closer ,X,Y
3524,4,2069248146,Sun Jun 07 15:31:48 PDT 2009,NO_QUERY,KoniYates,"Coloursfest 2009 was awesome, had a ball! ","Coloursfest 2009 was awesome, had a ball! ",X,Y
