,target,id,date,query,user,input,input_processed,GPT Positive,GPT Negative
6000,0,2324641750,Thu Jun 25 03:40:46 PDT 2009,NO_QUERY,cuntankerous,@glittertrash going to p!nk concert! Heh! Ohh I missed the last one too ! ,USERNAME going to p!nk concert! Heh! Ohh I missed the last one too ! ,Yes,Yes
6001,4,2060992910,Sat Jun 06 19:58:31 PDT 2009,NO_QUERY,ck2d,@janelle30 Server's getting twitchy again. Clearly I should be working or something. Think my editor has bugged the line. ,USERNAME Server's getting twitchy again. Clearly I should be working or something. Think my editor has bugged the line. ,No,Yes
6002,4,2066791699,Sun Jun 07 11:10:43 PDT 2009,NO_QUERY,hollykatie,@taylorswift13 - Teardrops On My Guitar ,USERNAME - Teardrops On My Guitar ,No,No
6003,4,1979026038,Sun May 31 01:20:24 PDT 2009,NO_QUERY,garyshort,@dxlight did they catch you smoking? ,USERNAME did they catch you smoking? ,No,Yes
6004,4,1961195591,Fri May 29 09:07:42 PDT 2009,NO_QUERY,lucylumcfly,"@FrankieTheSats with u, we were probably hyper as hell for mcfly anyway .. please could you say hii  x","USERNAME with u, we were probably hyper as hell for mcfly anyway .. please could you say hii  x",Yes,No
6005,4,1558190021,Sun Apr 19 07:34:34 PDT 2009,NO_QUERY,morgan_2013,cake is what im having for breakfast  and i am loving it! i wish it was chocolate though.. oh a triple chocolate huge piece of cake. ahhhh,cake is what im having for breakfast  and i am loving it! i wish it was chocolate though.. oh a triple chocolate huge piece of cake. ahhhh,Yes,No
6006,0,2053730037,Sat Jun 06 05:31:30 PDT 2009,NO_QUERY,sbfp,damn I hate Danish error messages in visual studio  wonder if it's possible to get them in english....,damn I hate Danish error messages in visual studio  wonder if it's possible to get them in english....,No,Yes
6007,0,1990243900,Mon Jun 01 04:19:00 PDT 2009,NO_QUERY,MelNicholls,tired of having to mime or write everything down. Never realised just how much i talk in a day ,tired of having to mime or write everything down. Never realised just how much i talk in a day ,No,Yes
6008,0,2199766036,Tue Jun 16 17:58:24 PDT 2009,NO_QUERY,koolrunnins,#haveyouever:Had to be married (bc of situation)to someone that wants u to be as unhappy as they are? ,haveyouever:Had to be married (bc of situation)to someone that wants u to be as unhappy as they are? ,No,Yes
6009,0,1969420698,Fri May 29 23:59:16 PDT 2009,NO_QUERY,exzantia,Oh god I really don't want to get up. Sooo tied ,Oh god I really don't want to get up. Sooo tied ,No,Yes
6010,4,1989182430,Mon Jun 01 00:37:28 PDT 2009,NO_QUERY,Doctorbenjy,Off to my media exam this morning wish me luck! ,Off to my media exam this morning wish me luck! ,Yes,No
6011,4,1558398148,Sun Apr 19 08:15:05 PDT 2009,NO_QUERY,CareBlairNB4eva,@selenagomez http://twitpic.com/3knsj - This has to be one of the cutest pictures I have seen in a long time ,USERNAME URL - This has to be one of the cutest pictures I have seen in a long time ,Yes,No
6012,4,2004200255,Tue Jun 02 07:49:47 PDT 2009,NO_QUERY,Jilli_an,@TerrinRamsey you are awesome at what you do! I'll pray your week goes by fast and its a productive one ,USERNAME you are awesome at what you do! I'll pray your week goes by fast and its a productive one ,Yes,No
6013,4,1676805158,Fri May 01 23:15:45 PDT 2009,NO_QUERY,StephanieeeQ,@PeaceOutHannah LOL hello hannah! you too! ,USERNAME LOL hello hannah! you too! ,No,No
6014,0,2261551987,Sat Jun 20 20:58:15 PDT 2009,NO_QUERY,Josh_xVx,My ears hurt. ,My ears hurt. ,No,Yes
6015,0,1882761754,Fri May 22 07:26:33 PDT 2009,NO_QUERY,writeinink,@BlackEyedGurl i'll give you the same advice i gave @scath : drink heavily to take the edge off. sorry you're hurting so bad ,USERNAME i'll give you the same advice i gave USERNAME : drink heavily to take the edge off. sorry you're hurting so bad ,No,Yes
6016,0,2053581036,Sat Jun 06 05:02:50 PDT 2009,NO_QUERY,aimeechocoholic,"@gregjames oh no, i hope nick doesn't go too ","USERNAME oh no, i hope nick doesn't go too ",No,Yes
6017,0,2016417346,Wed Jun 03 06:44:30 PDT 2009,NO_QUERY,annzoo,I think I have pink eye ,I think I have pink eye ,No,Yes
6018,4,1995064018,Mon Jun 01 12:53:35 PDT 2009,NO_QUERY,Cathryn_Mowbray,really want to go to Ireland + stay in a cosy cottage near the pub ,really want to go to Ireland + stay in a cosy cottage near the pub ,Yes,No
6019,4,1989693244,Mon Jun 01 02:28:14 PDT 2009,NO_QUERY,rad_g,"@neilmiddleton no, wait, i wanna know where this number comes from, for lat 10 yrs it was 500k and now its less? ","USERNAME no, wait, i wanna know where this number comes from, for lat 10 yrs it was 500k and now its less? ",No,No
6020,4,2067606205,Sun Jun 07 12:38:31 PDT 2009,NO_QUERY,jaybranch,@fionajc3 It's quite cool.... and very easy.  Just visit. http://blip.fm for more info.  ,USERNAME It's quite cool.... and very easy.  Just visit. URL for more info.  ,Yes,No
6021,0,2064510955,Sun Jun 07 06:28:07 PDT 2009,NO_QUERY,stannerrrs,tired..ever so tired and has more revision ,tired..ever so tired and has more revision ,No,Yes
6022,0,2329051503,Thu Jun 25 10:17:33 PDT 2009,NO_QUERY,laurenambrose,"awwww, no farrah!!! what a fight she put up, but so sad.. such an icon! ","awwww, no farrah!!! what a fight she put up, but so sad.. such an icon! ",Yes,Yes
