,target,id,date,query,user,input,input_processed,GPT Positive,GPT Negative
7000,0,1828003128,Sun May 17 11:53:32 PDT 2009,NO_QUERY,kransomwastaken,@moritheil no rt of my link of it an hour ago? ,USERNAME no rt of my link of it an hour ago? ,X,X
7001,4,1996399458,Mon Jun 01 15:01:15 PDT 2009,NO_QUERY,natalos,just finished watching antwone fisher again...now to write my paper...and im pretty sure i got a 100 on my math final if not still a A ,just finished watching antwone fisher again...now to write my paper...and im pretty sure i got a 100 on my math final if not still a A ,Y,X
7002,4,2183149879,Mon Jun 15 14:06:44 PDT 2009,NO_QUERY,TraderPlanet,Hello my friends!!  I just updated my profile!!!  Add me as a friend:  http://ow.ly/efCC  Happy Trading!!!!!!! ,Hello my friends!!  I just updated my profile!!!  Add me as a friend:  URL  Happy Trading!!!!!!! ,Y,X
7003,0,2235652024,Fri Jun 19 01:44:16 PDT 2009,NO_QUERY,jeroenvdmeer,"I want my MacBook back  Good thing I have AppleCare, though. Would've cost me a kidney to have it fixed otherwise.","I want my MacBook back  Good thing I have AppleCare, though. Would've cost me a kidney to have it fixed otherwise.",Y,X
7004,4,2067014043,Sun Jun 07 11:35:26 PDT 2009,NO_QUERY,Naoij,"@waynemarkle  I wish. I just love words and their origin maybe I compensate somehow about my job that's all about numbers/calculations, u?","USERNAME  I wish. I just love words and their origin maybe I compensate somehow about my job that's all about numbers/calculations, u?",X,X
7005,0,2069612646,Sun Jun 07 16:11:54 PDT 2009,NO_QUERY,Ozzy242,"At least someone out there is having fun out there. }:-X Your friend, Shawn S. Go Eagles! ","At least someone out there is having fun out there. }:-X Your friend, Shawn S. Go Eagles! ",X,X
7006,0,1969437309,Sat May 30 00:02:08 PDT 2009,NO_QUERY,ohsnapsjohn,"@stevesics  nooo! Luhh life, it's beutiful!","USERNAME  nooo! Luhh life, it's beutiful!",X,Y
7007,0,2235108384,Fri Jun 19 00:26:45 PDT 2009,NO_QUERY,TweetTotterFace,I'm learning all about Twitter &amp; thinking about tator tots...My tummy hurts to ,I'm learning all about Twitter &amp; thinking about tator tots...My tummy hurts to ,X,Y
7008,4,2046235567,Fri Jun 05 11:53:18 PDT 2009,NO_QUERY,Victoriasmommy,day 3 of Jillian's 30 day shed!!! owwwey.......only 27 more to go! ,day 3 of Jillian's 30 day shed!!! owwwey.......only 27 more to go! ,X,Y
7009,4,2048594333,Fri Jun 05 15:27:23 PDT 2009,NO_QUERY,la_knight,Very happy hubby called this morning and happy to finally be back home! It was nice to get off early to celebrate success at work ,Very happy hubby called this morning and happy to finally be back home! It was nice to get off early to celebrate success at work ,Y,X
7010,0,1968442618,Fri May 29 21:26:51 PDT 2009,NO_QUERY,AgileBeeeast,Wish i were invited ,Wish i were invited ,X,Y
7011,4,2004962816,Tue Jun 02 09:00:33 PDT 2009,NO_QUERY,SocialLadybug,Impressed with my cooking this morning....  and they say city girls can't cook! YEA RIGHT!,Impressed with my cooking this morning....  and they say city girls can't cook! YEA RIGHT!,Y,X
7012,4,1469644736,Tue Apr 07 07:00:00 PDT 2009,NO_QUERY,YatPundit,"@Kellyology twitter, no major loss, gmail, problem, ABC on boobtoob means the cat sat on the remote again ","USERNAME twitter, no major loss, gmail, problem, ABC on boobtoob means the cat sat on the remote again ",X,X
7013,0,1974285629,Sat May 30 12:49:01 PDT 2009,NO_QUERY,emmafosho,i want the ~lividthorn~ pick&amp;mix teeee ,i want the ~lividthorn~ pick&amp;mix teeee ,X,X
7014,0,2328613276,Thu Jun 25 09:47:29 PDT 2009,NO_QUERY,ranajune,R.I.P. Farrah Fawcett http://bit.ly/DVCgs  The beloved angel has passed away.   (via @PerezHilton),R.I.P. Farrah Fawcett URL  The beloved angel has passed away.   (via USERNAME,X,Y
7015,4,1677566824,Sat May 02 02:46:47 PDT 2009,NO_QUERY,septmbrsfinest,@thakiidad lmao ur silly..im glad to hear your doin well  ..keep up the good wrk bro ! ,USERNAME lmao ur silly..im glad to hear your doin well  ..keep up the good wrk bro ! ,Y,X
7016,0,1559907399,Sun Apr 19 12:21:12 PDT 2009,NO_QUERY,mskonfa1990,why do we make judgements based on initial appearances? It sucks when u r on the receiving end  Pls. don't do this to others.,why do we make judgements based on initial appearances? It sucks when u r on the receiving end  Pls. don't do this to others.,X,Y
7017,0,1556678550,Sat Apr 18 23:50:35 PDT 2009,NO_QUERY,judithmcn,@CathBx its not working for me ,USERNAME its not working for me ,X,Y
7018,0,1963942389,Fri May 29 13:29:06 PDT 2009,NO_QUERY,TheRaizinShow,Even ARNOLD couldn't save the parks  http://bit.ly/WSM5J  - How is this providing jobs?,Even ARNOLD couldn't save the parks  URL  - How is this providing jobs?,X,Y
7019,0,2181697957,Mon Jun 15 12:10:36 PDT 2009,NO_QUERY,katexpectation,Ugh I forgot to dvr true blood last night  nothing like sitting down to watch it &amp; it's not there. I feel stood up.,Ugh I forgot to dvr true blood last night  nothing like sitting down to watch it &amp; it's not there. I feel stood up.,X,Y
7020,4,1679804153,Sat May 02 10:13:04 PDT 2009,NO_QUERY,andrewspittle,@joeybaker Good idea. I'll see if I can do that this weekend. P.S. you should follow me so I can dm you ,USERNAME Good idea. I'll see if I can do that this weekend. P.S. you should follow me so I can dm you ,X,X
7021,4,1835055856,Mon May 18 05:00:56 PDT 2009,NO_QUERY,FONEJACKER12009,And remember always stop for regular tweet breaks itll help with ya mind !! ha  @mmbopidy,And remember always stop for regular tweet breaks itll help with ya mind !! ha  USERNAME,Y,X
7022,4,1468088507,Mon Apr 06 23:39:01 PDT 2009,NO_QUERY,Knot2serious,"@jreneebuchholz I will have to try that sometime. I like Greek food..uh, well, I like most food. hehe ","USERNAME I will have to try that sometime. I like Greek food..uh, well, I like most food. hehe ",Y,X
7023,0,1883457689,Fri May 22 08:34:57 PDT 2009,NO_QUERY,SweetHeartAggie,Headache is turning into an ache in my @$$.  I want to sleep.,Headache is turning into an ache in my USERNAME  I want to sleep.,X,Y
7024,0,2266545261,Sun Jun 21 08:41:31 PDT 2009,NO_QUERY,steff210,Just got home from Alex's BBQ. Now time to be sad all day ,Just got home from Alex's BBQ. Now time to be sad all day ,X,Y
7025,4,1558004753,Sun Apr 19 06:54:49 PDT 2009,NO_QUERY,Lttljay,@tommcfly aww thats just cute ,USERNAME aww thats just cute ,Y,X
7026,0,2064467077,Sun Jun 07 06:20:45 PDT 2009,NO_QUERY,OubDouggie,Trying to get over that my mom will be gone for 3 months ,Trying to get over that my mom will be gone for 3 months ,X,Y
7027,0,2206303256,Wed Jun 17 06:20:00 PDT 2009,NO_QUERY,clare666,"I've told him 2 make a formal complaint but coz it was his 'supervisors' fault, he'll get the balme then take it out on hubby forEVER! ","I've told him 2 make a formal complaint but coz it was his 'supervisors' fault, he'll get the balme then take it out on hubby forEVER! ",X,Y
7028,0,1693049876,Sun May 03 21:25:56 PDT 2009,NO_QUERY,lauraagreenn,i miss my boyfriend ,i miss my boyfriend ,X,Y
7029,4,1695731693,Mon May 04 06:49:24 PDT 2009,NO_QUERY,glowstick,Today is my Mother's birthday- Happy Birthday &amp; I love you! She is an angel whom has helped me so much during this time of my life ,Today is my Mother's birthday- Happy Birthday &amp; I love you! She is an angel whom has helped me so much during this time of my life ,Y,X
7030,0,2000306662,Mon Jun 01 21:50:07 PDT 2009,NO_QUERY,InMyPANTS,(@ComeDriveMeWild) Omg Rpattz was supposed to do jizz in my pants?! What a cruel world we live in that it didn't happen ,(USERNAME Omg Rpattz was supposed to do jizz in my pants?! What a cruel world we live in that it didn't happen ,X,Y
7031,0,1988817922,Sun May 31 23:27:48 PDT 2009,NO_QUERY,Candice_Jo,"@soopertrev LOL! I need a real one tho, an imaginary neck and shoulder rub from @scrowder isn't going to work, unfortunately. ","USERNAME LOL! I need a real one tho, an imaginary neck and shoulder rub from USERNAME isn't going to work, unfortunately. ",X,Y
7032,4,2064854754,Sun Jun 07 07:20:00 PDT 2009,NO_QUERY,stevengrande,@zaneology you are a quoting machine today!!! ,USERNAME you are a quoting machine today!!! ,Y,X
7033,4,1989747796,Mon Jun 01 02:40:06 PDT 2009,NO_QUERY,ChinaBlue79,@PembsDave it's also a hairstyle ,USERNAME it's also a hairstyle ,X,X
7034,4,1836166531,Mon May 18 07:30:01 PDT 2009,NO_QUERY,kararitaclarita,RB IS BACK ,RB IS BACK ,Y,X
7035,4,2061831555,Sat Jun 06 21:42:56 PDT 2009,NO_QUERY,vitaminjeff,@moostool CHYEAH! You totally be cool mang! ,USERNAME CHYEAH! You totally be cool mang! ,Y,X
7036,4,1573274620,Tue Apr 21 00:26:25 PDT 2009,NO_QUERY,deurell,@johan_danforth Or maybe just join in for the soft-training-sessions when you visit our office. Free soft-drinks included... ,USERNAME Or maybe just join in for the soft-training-sessions when you visit our office. Free soft-drinks included... ,Y,X
7037,4,2048801890,Fri Jun 05 15:47:53 PDT 2009,NO_QUERY,weirdo_ne,"@miguelstdancer for me, we're all fans and we should all be together. Who wouldn't go crazy in front of their idols? we freak out! ","USERNAME for me, we're all fans and we should all be together. Who wouldn't go crazy in front of their idols? we freak out! ",Y,X
7038,0,2258965915,Sat Jun 20 16:47:40 PDT 2009,NO_QUERY,Fancy_Ashley,Mission failed..... ,Mission failed..... ,X,Y
7039,4,1796804558,Thu May 14 10:03:45 PDT 2009,NO_QUERY,ThomasAtUPS,@parsifal Glad we were able to help you out.  ,USERNAME Glad we were able to help you out.  ,Y,X
7040,4,1979925165,Sun May 31 05:02:52 PDT 2009,NO_QUERY,honeysnowflakes,"is watching a recap of Full Metal Alchemist Brotherhood! I'm so going to download the Opening Song!!  (While studying, haha!!!)","is watching a recap of Full Metal Alchemist Brotherhood! I'm so going to download the Opening Song!!  (While studying, haha!!!)",Y,X
7041,4,2014898083,Wed Jun 03 03:03:00 PDT 2009,NO_QUERY,milliegee,@osmoxis HAHA i read that as uploading pictures on photobucket. not such a bad idea but no one will lookat it there. ,USERNAME HAHA i read that as uploading pictures on photobucket. not such a bad idea but no one will lookat it there. ,X,Y
7042,0,2246154388,Fri Jun 19 17:10:21 PDT 2009,NO_QUERY,CLAiireex,ohh godd lol how cruel ,ohh godd lol how cruel ,X,Y
7043,4,1834697866,Mon May 18 03:54:12 PDT 2009,NO_QUERY,Roebaggs,@lilyroseallen it's deffo stab ,USERNAME it's deffo stab ,X,Y
7044,4,1795753481,Thu May 14 08:18:43 PDT 2009,NO_QUERY,011193_x,Setting up my twitter accout.  Add me if you know me!!,Setting up my twitter accout.  Add me if you know me!!,Y,X
