,target,id,date,query,user,input,input_processed,GPT Positive,GPT Negative
7500,4,2001663679,Tue Jun 02 01:38:39 PDT 2009,NO_QUERY,ujh,"@S_2K True. But it's fun nonetheless. Oh, and it's only 24˚C and almost raining ","USERNAME True. But it's fun nonetheless. Oh, and it's only 24˚C and almost raining ",1,0
7501,0,2067779101,Sun Jun 07 12:56:46 PDT 2009,NO_QUERY,jdub191,"@mariqueen  I missed your show due to an intense Jack Daniel's hangover   Hope it went well, and I'll see you next time you come to sb!","USERNAME  I missed your show due to an intense Jack Daniel's hangover   Hope it went well, and I'll see you next time you come to sb!",0,1
7502,4,2184346071,Mon Jun 15 15:46:30 PDT 2009,NO_QUERY,Veruru,@mrfibbles i will buy one ,USERNAME i will buy one ,1,0
7503,4,2063634550,Sun Jun 07 03:27:54 PDT 2009,NO_QUERY,_KoCh_,Vote ok ! Now just chillin all the day ,Vote ok ! Now just chillin all the day ,1,0
7504,0,1677562578,Sat May 02 02:45:19 PDT 2009,NO_QUERY,twilightfairy,OMG! the vulture's an endangered species in india! 99.9% are gone! india's lost 74million in last 10 yrs ,OMG! the vulture's an endangered species in india! 99.9% are gone! india's lost 74million in last 10 yrs ,0,1
7505,0,2053786168,Sat Jun 06 05:41:46 PDT 2009,NO_QUERY,twiggie22uk,is lookin out the window n hating the bloody rain on my day off ,is lookin out the window n hating the bloody rain on my day off ,0,1
7506,4,2055355083,Sat Jun 06 09:09:55 PDT 2009,NO_QUERY,ConnectWise,chris shase got me hooked up with ping!! ,chris shase got me hooked up with ping!! ,1,0
7507,0,2176076100,Mon Jun 15 02:50:42 PDT 2009,NO_QUERY,BrandyWandLover,@sammi_jade morning girlie!! hows u? up to much today? the weathers crap here today  xx,USERNAME morning girlie!! hows u? up to much today? the weathers crap here today  xx,0,1
7508,0,2016757451,Wed Jun 03 07:18:42 PDT 2009,NO_QUERY,4chanbot,g: i still can't sign up even in IE8 ,g: i still can't sign up even in IE8 ,0,1
7509,0,2323210782,Thu Jun 25 00:08:32 PDT 2009,NO_QUERY,sabrinabriann,i took that quiz and deffinatle not too happy...but at least its still a cute one lmao JOE MAC ,i took that quiz and deffinatle not too happy...but at least its still a cute one lmao JOE MAC ,0,1
7510,0,1881635090,Fri May 22 05:11:03 PDT 2009,NO_QUERY,pokeylope,ugh there's a full day of school today. oh well.  at least i have campbell's class.  but no katie ,ugh there's a full day of school today. oh well.  at least i have campbell's class.  but no katie ,0,1
7511,0,2324056859,Thu Jun 25 02:10:22 PDT 2009,NO_QUERY,ImDoubleD,Going to sleep... Thank u for turning me off ,Going to sleep... Thank u for turning me off ,0,1
7512,0,2174998276,Sun Jun 14 23:49:51 PDT 2009,NO_QUERY,itsgraham,"@Wwm_Shakespeare fine willy shakes, leave me stranded with a mile high of english hw  i thought you were here for me man  guess not ","USERNAME fine willy shakes, leave me stranded with a mile high of english hw  i thought you were here for me man  guess not ",0,1
7513,0,2030965068,Thu Jun 04 09:08:05 PDT 2009,NO_QUERY,southrider,@CYNTHIARENEE girl I just got home...I worked midnight 2 1030....and what really is fucked up is that I have 2 be there @  10 PM tonight ,USERNAME girl I just got home...I worked midnight 2 1030....and what really is fucked up is that I have 2 be there @  10 PM tonight ,0,1
7514,4,1563758376,Mon Apr 20 00:08:14 PDT 2009,NO_QUERY,Jedilachlan,Updated my blog a little at http://www.jedilachlanchobotscheats.com/ ,Updated my blog a little at URL ,1,0
7515,4,1971135190,Sat May 30 06:18:49 PDT 2009,NO_QUERY,aftonhippie,Chilling on a lovely saturday. ,Chilling on a lovely saturday. ,1,0
7516,0,1754680574,Sun May 10 07:03:30 PDT 2009,NO_QUERY,scuffles72,"THING I HATE THE MOST: when i forget to shake the ketchup bottle, and all this nastyjuice comes out on mah eggs. ","THING I HATE THE MOST: when i forget to shake the ketchup bottle, and all this nastyjuice comes out on mah eggs. ",0,1
7517,4,1985699282,Sun May 31 17:36:22 PDT 2009,NO_QUERY,cleominette,@babyblackbear yes! I'm ready. At the same time again? ,USERNAME yes! I'm ready. At the same time again? ,1,0
7518,4,1981455271,Sun May 31 09:11:23 PDT 2009,NO_QUERY,Meteora20,"Today, i will color my hair.  yes i do. XD #chesterday","Today, i will color my hair.  yes i do. XD chesterday",0,0
7519,0,2237230536,Fri Jun 19 05:25:54 PDT 2009,NO_QUERY,staaaaar,hates her new haircut ,hates her new haircut ,0,1
7520,0,1968815562,Fri May 29 22:17:06 PDT 2009,NO_QUERY,misshackett,@mimiana no car. Or I wouldn't be bored.  maybe I will paint my toenails...,USERNAME no car. Or I wouldn't be bored.  maybe I will paint my toenails...,0,0
7521,4,1823740290,Sat May 16 22:50:19 PDT 2009,NO_QUERY,gnomeangel,@Miss_Melbourne @TizBanana We'll have to form a girl band and tour... or we could just get together for a KoKo Black hot chocolate! ,USERNAME USERNAME We'll have to form a girl band and tour... or we could just get together for a KoKo Black hot chocolate! ,1,0
7522,4,2061443443,Sat Jun 06 20:52:53 PDT 2009,NO_QUERY,mareodomo,Hope the next #nambu update fixes these random crashes. @coryschmitz should be massage therapist. Also Thermals = comics mode ,Hope the next nambu update fixes these random crashes. USERNAME should be massage therapist. Also Thermals = comics mode ,0,0
7523,4,1558707813,Sun Apr 19 09:10:25 PDT 2009,NO_QUERY,JadaB,@littlemunchkin Ok see you tomorrow  xx,USERNAME Ok see you tomorrow  xx,1,0
7524,4,2070703671,Sun Jun 07 18:09:24 PDT 2009,NO_QUERY,jMaSinDhizhouz,at least LA's up ,at least LA's up ,1,0
7525,0,2210527922,Wed Jun 17 11:41:46 PDT 2009,NO_QUERY,Zappos_Kimmbo,Second fabulous day of shooting BTS!! A little behind bc baby wouldn't stop crying ,Second fabulous day of shooting BTS!! A little behind bc baby wouldn't stop crying ,0,1
7526,0,2233591543,Thu Jun 18 21:35:30 PDT 2009,NO_QUERY,THISASIANGURL,- going to blog because her emotions are getting the best of her. ,- going to blog because her emotions are getting the best of her. ,0,1
7527,4,1982049924,Sun May 31 10:25:34 PDT 2009,NO_QUERY,ep_scarlett,@iheartjack Cool! Happy #erinsmomsday ,USERNAME Cool! Happy erinsmomsday ,1,0
7528,0,2226609123,Thu Jun 18 12:09:50 PDT 2009,NO_QUERY,jackiesfolk,About to get ready for work ,About to get ready for work ,1,0
7529,0,2050527410,Fri Jun 05 18:49:49 PDT 2009,NO_QUERY,tanyafw,@disasterhead agree ,USERNAME agree ,1,0
7530,0,1961433852,Fri May 29 09:29:48 PDT 2009,NO_QUERY,Ames1103,"@TheMakeupSnob I know   It was worth a shot, though!","USERNAME I know   It was worth a shot, though!",1,0
7531,4,1558946500,Sun Apr 19 09:50:30 PDT 2009,NO_QUERY,unlimitedprla,Shoe and Sangria Sunday is finally here!!! Come out and bring your friends ,Shoe and Sangria Sunday is finally here!!! Come out and bring your friends ,1,0
7532,0,2190935863,Tue Jun 16 04:07:08 PDT 2009,NO_QUERY,duncan1216,"Just ended his last appt, surprisingly fast but guess what ?, now it's already 7 pm and he hasn't had his lunch yet ","Just ended his last appt, surprisingly fast but guess what ?, now it's already 7 pm and he hasn't had his lunch yet ",0,1
7533,4,2015401171,Wed Jun 03 04:33:56 PDT 2009,NO_QUERY,mark8t,Google added our Bing Custom Google Toolbar Button to their gallery  http://bit.ly/FfFwf,Google added our Bing Custom Google Toolbar Button to their gallery  URL,1,0
7534,4,1557032172,Sun Apr 19 01:38:04 PDT 2009,NO_QUERY,daynz85,is really hungover but was a good night ,is really hungover but was a good night ,1,0
7535,0,2244241823,Fri Jun 19 14:29:26 PDT 2009,NO_QUERY,quinnlankummer,I wannnnnnnt rods ,I wannnnnnnt rods ,0,0
