,target,id,date,query,user,input,input_processed,GPT Positive,GPT Negative
11000,4,1990552576,Mon Jun 01 05:10:05 PDT 2009,NO_QUERY,jordySAUROUS,&quot;but she wears short skirts I wear t shirts&quot;  I like that song,&quot;but she wears short skirts I wear t shirts&quot;  I like that song,"""Yes""","""Yes"""
11001,0,1830566457,Sun May 17 17:06:50 PDT 2009,NO_QUERY,NeilCallaghan,God I wish I was still in America ,God I wish I was still in America ,No,Yes
11002,0,2068934549,Sun Jun 07 14:58:11 PDT 2009,NO_QUERY,yack,"Well, at least I know why Lian was so hard to deal with yesterday. He woke up pukey and has been couch/tub-ridden all day. ","Well, at least I know why Lian was so hard to deal with yesterday. He woke up pukey and has been couch/tub-ridden all day. ",No,Yes
11003,4,2065817289,Sun Jun 07 09:20:57 PDT 2009,NO_QUERY,princessmeegan,"Is going to shop for a little bit, then cooking out ","Is going to shop for a little bit, then cooking out ","""Yes""",Yes
11004,0,2055314409,Sat Jun 06 09:05:28 PDT 2009,NO_QUERY,chachada1,omg!! thank you to everyone who put me in they follows I forgot yesterday was friday  I even forgot my berfday tomorrow but I will do,omg!! thank you to everyone who put me in they follows I forgot yesterday was friday  I even forgot my berfday tomorrow but I will do,"""Yes""","""No"""
11005,4,1826961550,Sun May 17 09:41:35 PDT 2009,NO_QUERY,junesbee_,http://twitpic.com/5d3rk - @tommcfly Look at what I've found today !  Who ya gonna call? GHOSTBUSTERS!,URL - USERNAME Look at what I've found today !  Who ya gonna call? GHOSTBUSTERS!,"""No""","""No"""
11006,4,1752089552,Sat May 09 21:01:32 PDT 2009,NO_QUERY,ilybreese,At the wedding reception. Having more fun than I thought ,At the wedding reception. Having more fun than I thought ,"""Yes""","""Yes"""
11007,0,1694231948,Mon May 04 01:40:40 PDT 2009,NO_QUERY,frayfray,@lunaobsessed aw  im getting a mac when i get to AUS. wooooooo 24inch,USERNAME aw  im getting a mac when i get to AUS. wooooooo 24inch,"""Yes""","""No"""
11008,4,1753273789,Sun May 10 00:51:53 PDT 2009,NO_QUERY,kampfkaetzchen,backe backe... MUFFINS!!! ,backe backe... MUFFINS!!! ,No,Yes
11009,0,1998768762,Mon Jun 01 19:05:37 PDT 2009,NO_QUERY,heatherdedona,"@contractorslim Hey slim, your girl hasn't returned my two phone calls ","USERNAME Hey slim, your girl hasn't returned my two phone calls ","""No""","""No"""
11010,4,1991874308,Mon Jun 01 07:48:57 PDT 2009,NO_QUERY,jamaal_jayz,@sheraan Selective Twitter is working well for me bro ,USERNAME Selective Twitter is working well for me bro ,"""Yes""","""Yes"""
11011,0,2181531539,Mon Jun 15 11:57:20 PDT 2009,NO_QUERY,Sethophers,@kaidon_ho That sucks  Bright side- we get paid tomorrow ,USERNAME That sucks  Bright side- we get paid tomorrow ,"""Yes""","""Yes"""
11012,4,1467862538,Mon Apr 06 22:33:17 PDT 2009,NO_QUERY,lotr_fan13,"OMG, I would have died!!! actually no, I take that back...I keep an updated version on my X:drive so it's all good ","OMG, I would have died!!! actually no, I take that back...I keep an updated version on my X:drive so it's all good ","""Yes""","""Yes"""
11013,0,2248947392,Fri Jun 19 21:27:25 PDT 2009,NO_QUERY,HaarlemsEGO,"Jus started watching I AM SAM, Oh em geeee this movie is sooo sad at first ","Jus started watching I AM SAM, Oh em geeee this movie is sooo sad at first ",No,No
11014,0,2265057193,Sun Jun 21 05:40:38 PDT 2009,NO_QUERY,TeeQ2,"@PS, waitin for fixing my damn wallet... ",USERNAME waitin for fixing my damn wallet... ,"""No""","""Yes"""
11015,0,1969744319,Sat May 30 01:04:06 PDT 2009,NO_QUERY,britto819,"@LauraAnnie112 me too!! umm haha thats pretty funny, the last time i checked i had NO PHONE!!!!  but direct msg me!!","USERNAME me too!! umm haha thats pretty funny, the last time i checked i had NO PHONE!!!!  but direct msg me!!","""Yes""","""No"""
11016,0,1973135288,Sat May 30 10:33:18 PDT 2009,NO_QUERY,UtkarshPuranik,feeling very sad ,feeling very sad ,No,No
11017,4,1978621547,Sat May 30 23:55:57 PDT 2009,NO_QUERY,BAHAHAleslieee,"@Gladystardust hahaha. we'll go to bars and start bar fights with big, motorcycle dudes ","USERNAME hahaha. we'll go to bars and start bar fights with big, motorcycle dudes ","""No""","""No"""
11018,0,1553140521,Sat Apr 18 13:28:49 PDT 2009,NO_QUERY,dribiwikx,Oh heyy lotr marathon!!  so difficult. The two towers or a new hope? Crucial life desicions.,Oh heyy lotr marathon!!  so difficult. The two towers or a new hope? Crucial life desicions.,"""Yes""","""No"""
11019,4,2059167482,Sat Jun 06 16:23:01 PDT 2009,NO_QUERY,carollyne_,@tommcfly carollyne fletcher ,USERNAME carollyne fletcher ,No,"""No"""
11020,0,2206277867,Wed Jun 17 06:17:32 PDT 2009,NO_QUERY,iLoveFry_,@Gary_Mac sadly not  !,USERNAME sadly not  !,"""No""","""Yes"""
11021,4,2002032006,Tue Jun 02 02:54:58 PDT 2009,NO_QUERY,zetalini,otw PCD concert tonight ,otw PCD concert tonight ,"""Yes""","""Yes"""
11022,0,2326089905,Thu Jun 25 06:32:09 PDT 2009,NO_QUERY,michaelbeam,I hope I can get to the DIY event this Saturday @okcCoCo. Related: Can't come to the Jelly today. Got to hang out with the plumber ,I hope I can get to the DIY event this Saturday USERNAME Related: Can't come to the Jelly today. Got to hang out with the plumber ,"""Yes""","""No"""
11023,0,2003666911,Tue Jun 02 06:56:36 PDT 2009,NO_QUERY,amazonv,"My desk: ThinkPad T400, Mac Mini, IBM ThinkCentre, IBM NetVista - and none work to my satisfaction ","My desk: ThinkPad T400, Mac Mini, IBM ThinkCentre, IBM NetVista - and none work to my satisfaction ","""No""","""No"""
11024,4,1686804599,Sun May 03 06:49:51 PDT 2009,NO_QUERY,schatzie0302,I think I'm getting Ice-Cream!!!! ,I think I'm getting Ice-Cream!!!! ,"""Yes""","""Yes"""
11025,0,1686158915,Sun May 03 04:04:19 PDT 2009,NO_QUERY,RiaTolstoy,"Saved a Bee today! Am well chuffed &amp; hey what's going on with them, there's kinda piggy bee flu going down i hear  v. sad..Save the bees!","Saved a Bee today! Am well chuffed &amp; hey what's going on with them, there's kinda piggy bee flu going down i hear  v. sad..Save the bees!","""Yes""","""Yes"""
11026,0,2181023081,Mon Jun 15 11:15:41 PDT 2009,NO_QUERY,meeshizthug,fuck; my tum hurts real bad  ,fuck; my tum hurts real bad  ,No,No
11027,0,1793028024,Thu May 14 01:06:00 PDT 2009,NO_QUERY,darapixie,I am not feeling well... I think I am coming down with a cold ,I am not feeling well... I think I am coming down with a cold ,No,No
11028,4,2045619703,Fri Jun 05 10:59:36 PDT 2009,NO_QUERY,jeweloflight,@GauchoBrazilUSA How dare you put me on blast like that!  Leave me alone! I was in a hurry! Now I can't spell in english or portuguese! ,USERNAME How dare you put me on blast like that!  Leave me alone! I was in a hurry! Now I can't spell in english or portuguese! ,"""No""","""No"""
11029,0,2206156395,Wed Jun 17 06:05:48 PDT 2009,NO_QUERY,ruskoofficial,does anyone have an mp3 of bad company - torpedo ?? cant findit on beatport or itunes or juno. booo ,does anyone have an mp3 of bad company - torpedo ?? cant findit on beatport or itunes or juno. booo ,No,No
11030,0,2325061417,Thu Jun 25 04:40:53 PDT 2009,NO_QUERY,erin111,"Not so much sun today, damn. I want to read in the sun ","Not so much sun today, damn. I want to read in the sun ",Yes,Yes
11031,0,1676563468,Fri May 01 22:25:49 PDT 2009,NO_QUERY,xoVictoria,"@VivaLaAden &quot;GOD ELTON, CAN'T YOU SUCK?!&quot;  Me either, but I can try?  It sucks, like I've gotten in my mind that eating disorders are the","USERNAME &quot;GOD ELTON, CAN'T YOU SUCK?!&quot;  Me either, but I can try?  It sucks, like I've gotten in my mind that eating disorders are the","""No""","""No"""
11032,0,2264674490,Sun Jun 21 04:36:23 PDT 2009,NO_QUERY,martparve,"@alex_krycek_lv It's a beta version, available on the D-Link site. It tends to drop connection to 3G modem 4 some reason though ","USERNAME It's a beta version, available on the D-Link site. It tends to drop connection to 3G modem 4 some reason though ","""No""","""No"""
11033,4,1958105752,Fri May 29 02:40:49 PDT 2009,NO_QUERY,AshleyMcCraw,"@dougiemcfly loving the idea about having our own colony captain poynter. you find the island, i will provide the transport ","USERNAME loving the idea about having our own colony captain poynter. you find the island, i will provide the transport ","""Yes""","""Yes"""
11034,0,1990205289,Mon Jun 01 04:12:08 PDT 2009,NO_QUERY,katrinawebb,@heygayjay ahahaha your so cute! i miss you!  you coming to sway sway?,USERNAME ahahaha your so cute! i miss you!  you coming to sway sway?,"""Yes""","""No"""
11035,0,1972474354,Sat May 30 09:17:38 PDT 2009,NO_QUERY,naomiomi,enjoying the sunshine while hubby has to sleep his birthday away and work tonight ,enjoying the sunshine while hubby has to sleep his birthday away and work tonight ,"""Yes""",Yes
11036,0,1759082125,Sun May 10 18:25:13 PDT 2009,NO_QUERY,lilyheartsyou3,Is having a good mothers day just wished that my tia an gramma was here ,Is having a good mothers day just wished that my tia an gramma was here ,Yes,Yes
11037,4,2070388710,Sun Jun 07 17:36:26 PDT 2009,NO_QUERY,May_s2,"@tommcfly Hey Tom, i was in the starbucks when i remember you ","USERNAME Hey Tom, i was in the starbucks when i remember you ","""Yes""","""Yes"""
11038,4,2177332285,Mon Jun 15 05:55:00 PDT 2009,NO_QUERY,luvnhapyness,Good Morning Everybody!!   Good weekend?,Good Morning Everybody!!   Good weekend?,"""Yes""","""Yes"""
11039,4,2175612757,Mon Jun 15 01:29:12 PDT 2009,NO_QUERY,ena2345,"@tamejhna ne, greva se klonirat. al pa opustit izobrazbo in postat street artistki (jst znam fire poi, a znaš ti bruhat ogenj?) ","USERNAME ne, greva se klonirat. al pa opustit izobrazbo in postat street artistki (jst znam fire poi, a znaš ti bruhat ogenj?) ","""No""","""No"""
11040,0,2229625598,Thu Jun 18 15:59:00 PDT 2009,NO_QUERY,el_tatos,Hey #gelattina Ya somos 6 viewers! nomas nos faltan 14  sniff  (Working @gelattina live &gt; http://ustre.am/32Ih),Hey gelattina Ya somos 6 viewers! nomas nos faltan 14  sniff  (Working USERNAME live &gt; URL,"""No""","""No"""
11041,4,1991436907,Mon Jun 01 07:02:12 PDT 2009,NO_QUERY,quarksome,"@emmanhilao oh wow. cool. masaya yan si ma'am binas, though maraming pinapagawa. ","USERNAME oh wow. cool. masaya yan si ma'am binas, though maraming pinapagawa. ","""Yes""","""Yes"""
11042,4,1836482153,Mon May 18 08:04:35 PDT 2009,NO_QUERY,lopzeelopz,Watching Davids' Videos.  THE DAVID FEVER IS STILL ONN. ,Watching Davids' Videos.  THE DAVID FEVER IS STILL ONN. ,"""Yes""","""Yes"""
11043,0,2175925289,Mon Jun 15 02:24:00 PDT 2009,NO_QUERY,xxxmariaxxxx,people have come to start doing up my garden.... theyre very loud and woke me up ,people have come to start doing up my garden.... theyre very loud and woke me up ,No,No
11044,4,1965430337,Fri May 29 15:54:29 PDT 2009,NO_QUERY,JammyRabbins,Dear twitter friends... I kind of love you ,Dear twitter friends... I kind of love you ,"""Yes""","""Yes"""
11045,0,1827137759,Sun May 17 10:04:20 PDT 2009,NO_QUERY,Lena_Fiefhaus,im going to take a shower xD its 7.04pm xD tomorrow school &amp; math! ,im going to take a shower xD its 7.04pm xD tomorrow school &amp; math! ,"""No""","""No"""
11046,0,2177891762,Mon Jun 15 06:52:20 PDT 2009,NO_QUERY,cyriacthomas,"Visualizing the code.. To be precise, codin with mouse. ","Visualizing the code.. To be precise, codin with mouse. ",No,"""No"""
11047,4,2193577641,Tue Jun 16 08:38:51 PDT 2009,NO_QUERY,Pixgremlin,@naijagal You just HAD to throw that in. Tell her that I say thanks for the eye contact at her Brixton gig. managed to get a shot! ,USERNAME You just HAD to throw that in. Tell her that I say thanks for the eye contact at her Brixton gig. managed to get a shot! ,"""Yes""","""No"""
11048,4,2181496471,Mon Jun 15 11:54:29 PDT 2009,NO_QUERY,ICUcopyclip,@Kdark74 If u work in a cubicle u need one of these trust me  http://icucopyclip.com Rear view mirror &amp; doc holder in one... super handy!,USERNAME If u work in a cubicle u need one of these trust me  URL Rear view mirror &amp; doc holder in one... super handy!,"""No""","""No"""
11049,4,1974944818,Sat May 30 14:07:33 PDT 2009,NO_QUERY,josiecatdoll,la ganadora de Britain got talent  the little Hollie Steel ,la ganadora de Britain got talent  the little Hollie Steel ,No,Yes
11050,4,2064107729,Sun Jun 07 05:14:54 PDT 2009,NO_QUERY,kaygirl1995,Mmm...I love quiet time with Jesus. ,Mmm...I love quiet time with Jesus. ,Yes,"""Yes"""
11051,4,1971499789,Sat May 30 07:15:14 PDT 2009,NO_QUERY,emmettcullen07,@HayleyNqahuia i have time. ,USERNAME i have time. ,"""Yes""","""Yes"""
11052,4,1754119201,Sun May 10 05:03:21 PDT 2009,NO_QUERY,canadianbaldguy,@SmittnbyBritain Thanks!  I'll make sure my mom gets the hug.     http://tinyurl.com/qkueu8,USERNAME Thanks!  I'll make sure my mom gets the hug.     URL,"""Yes""","""Yes"""
11053,0,2222781611,Thu Jun 18 07:26:14 PDT 2009,NO_QUERY,brittbrat130, why? cheer up ily ryan lol @ryan241241, why? cheer up ily ryan lol USERNAME,"""Yes""","""Yes"""
11054,0,2245013284,Fri Jun 19 15:31:58 PDT 2009,NO_QUERY,chunryan,have to reserve my iPhone  and wait 5 days.,have to reserve my iPhone  and wait 5 days.,No,No
11055,4,1981389691,Sun May 31 09:03:04 PDT 2009,NO_QUERY,Momma_Sunshine,@Dolcetk thanks!!! ,USERNAME thanks!!! ,"""Yes""","""Yes"""
11056,0,2176608341,Mon Jun 15 04:18:57 PDT 2009,NO_QUERY,blueautopsy,Eating salad and quorn chicken. My mom loves plying me with fake meat ,Eating salad and quorn chicken. My mom loves plying me with fake meat ,"""Yes""","""Yes"""
11057,0,1981787326,Sun May 31 09:53:33 PDT 2009,NO_QUERY,Laurena_x,this is the hardest day of study ever. everyones out in the sun &amp; neighbours are blaring KOL in their garden! &amp; my room is like a sauna. ,this is the hardest day of study ever. everyones out in the sun &amp; neighbours are blaring KOL in their garden! &amp; my room is like a sauna. ,No,No
