,target,id,date,query,user,input,input_processed,GPT Positive,GPT Negative
0,4,2051405591,Fri Jun 05 21:56:32 PDT 2009,NO_QUERY,ALadyLaDay,oops...i meant to say...hope your left arm is ok  @drakkardnoir,oops...i meant to say...hope your left arm is ok  USERNAME,"""No""",No
1,0,2224483197,Thu Jun 18 09:33:26 PDT 2009,NO_QUERY,Vikki_Imre,@aimeekate Me netiher  Thats why I asked u. Maybe u should ask for an interview  And I dont have money either ,USERNAME Me netiher  Thats why I asked u. Maybe u should ask for an interview  And I dont have money either ,"""No""",No
2,0,1834701582,Mon May 18 03:54:57 PDT 2009,NO_QUERY,lacrossecutie19,in pain... and sun burnt. every part of my body is killing me. ,in pain... and sun burnt. every part of my body is killing me. ,No,No
3,4,1881581072,Fri May 22 05:02:38 PDT 2009,NO_QUERY,piratephoto,"@prettypervy awww, thats awesome  I want that cat haha","USERNAME awww, thats awesome  I want that cat haha","""Yes""",Yes
4,0,2327404521,Thu Jun 25 08:18:15 PDT 2009,NO_QUERY,nere13,@xBianC4x noope!! i don't know anyone personally in twitter  do u?,USERNAME noope!! i don't know anyone personally in twitter  do u?,"""No""",No
5,4,1755444578,Sun May 10 09:09:21 PDT 2009,NO_QUERY,meg11288,im so tired. busiest day of the year at work today. yay. (sarcasm) sleep on... wednesday ,im so tired. busiest day of the year at work today. yay. (sarcasm) sleep on... wednesday ,"""No""",No
6,0,1835790284,Mon May 18 06:45:24 PDT 2009,NO_QUERY,ranacse05,still sick and 2moro class test ,still sick and 2moro class test ,No,No
7,4,1834606264,Mon May 18 03:34:22 PDT 2009,NO_QUERY,NicJJ,"the cakes our out, they look ok and tast alright untill the end horrible after taste ha im a failure ","the cakes our out, they look ok and tast alright untill the end horrible after taste ha im a failure ",No,No
8,4,2047704741,Fri Jun 05 14:03:09 PDT 2009,NO_QUERY,mollieandjackie,we have a new twitter layout today...how do you like it? ,we have a new twitter layout today...how do you like it? ,No,No
9,4,2177924096,Mon Jun 15 06:55:28 PDT 2009,NO_QUERY,brooklynlindsey,"parking ticket payment today, kirra up 5 times last night, need a nap and it's only 10 AM ","parking ticket payment today, kirra up 5 times last night, need a nap and it's only 10 AM ",No,No
10,4,2057851436,Sat Jun 06 13:47:02 PDT 2009,NO_QUERY,loratalk,@pguerrerovalley Hope your big event today was a huge success!! ,USERNAME Hope your big event today was a huge success!! ,"""Yes""",Yes
11,4,1678012404,Sat May 02 05:06:42 PDT 2009,NO_QUERY,Nixygirl,@ZuckerBaby hahahah well at least your full and happy  I'm looking forward to trying it when I get back!,USERNAME hahahah well at least your full and happy  I'm looking forward to trying it when I get back!,"""Yes""","""No"""
12,0,2017324474,Wed Jun 03 08:12:23 PDT 2009,NO_QUERY,PhDiesel,Starting to get sad.   I'm gonna miss these little buttheads.,Starting to get sad.   I'm gonna miss these little buttheads.,No,Yes
13,0,2053259692,Sat Jun 06 03:53:55 PDT 2009,NO_QUERY,ComedyQueen,@pob34 yeah. It really lets the site down ,USERNAME yeah. It really lets the site down ,"""No""","""No"""
14,0,2282203800,Mon Jun 22 11:04:20 PDT 2009,NO_QUERY,mohalen,"well im not sure how many others have this issue, but i cant block people anymore  I am being flooded with spammers and bots!","well im not sure how many others have this issue, but i cant block people anymore  I am being flooded with spammers and bots!",No,No
15,4,2191357458,Tue Jun 16 05:06:19 PDT 2009,NO_QUERY,macrop,Nice Remix #Nekta Guess Who #forgotten musicmonday ,Nice Remix Nekta Guess Who forgotten musicmonday ,Yes,No
16,0,2058621295,Sat Jun 06 15:18:08 PDT 2009,NO_QUERY,creamydreamer,just secured a day to sell me tv.  i hate being poor.  ,just secured a day to sell me tv.  i hate being poor.  ,"""No""",No
17,4,2056608343,Sat Jun 06 11:27:29 PDT 2009,NO_QUERY,mommysbusylife,Five Men standing in the driveway shaking their head- WHAT is the trunk of the minivan NOT suppose to be scraping the pavement ,Five Men standing in the driveway shaking their head- WHAT is the trunk of the minivan NOT suppose to be scraping the pavement ,No,No
18,4,2066609457,Sun Jun 07 10:50:34 PDT 2009,NO_QUERY,endoplasmic,@palmerized Yah I'm looking forward to it ,USERNAME Yah I'm looking forward to it ,"""Yes""","""No"""
19,4,1994273765,Mon Jun 01 11:40:58 PDT 2009,NO_QUERY,mollypenney,Hey Monday - candles &lt;33 ,Hey Monday - candles &lt;33 ,"""Yes""",No
